contract,date,close,open,high,low,change,volume,oi,symbol
LEG27,2010-01-04,85.375,86.5,86.8,85.35,0,22978,121022.0,LEG10
LEG27,2010-01-05,86.325,85.525,86.6,85.35,0.9500000000000028,17203,115925.0,LEG10
LEG27,2010-01-06,85.95,86.45,86.775,85.625,-0.375,20838,113031.0,LEG10
LEG27,2010-01-07,85.925,86.05,86.65,85.55,-0.025000000000005684,18311,111303.0,LEG10
LEG27,2010-01-08,85.825,85.775,86.175,85.4,-0.09999999999999432,28982,103298.0,LEG10
LEG27,2010-01-11,85.05,85.875,85.875,85,-0.7750000000000057,27566,97092.0,LEG10
LEG27,2010-01-12,85.45,85.05,85.575,84.75,0.4000000000000057,29622,90221.0,LEG10
LEG27,2010-01-13,85.7,85.475,86.05,85.1,0.25,30945,80232.0,LEG10
LEG27,2010-01-14,86.65,85.975,86.8,85.8,0.9500000000000028,34210,71261.0,LEG10
LEG27,2010-01-15,87.35,86.95,87.425,86.825,0.6999999999999886,22263,65661.0,LEG10
LEG27,2010-01-19,87.9,87.45,87.95,87.1,0.5500000000000114,14594,60848.0,LEG10
LEG27,2010-01-20,87.45,87.75,87.925,86.95,-0.45000000000000284,15310,57230.0,LEG10
LEG27,2010-01-21,86.85,87.3,87.3,86.45,-0.6000000000000085,11879,54703.0,LEG10
LEG27,2010-01-22,86.625,87.25,87.25,86.4,-0.22499999999999432,10975,52909.0,LEG10
LEG27,2010-01-25,86.2,86.825,86.825,85.9,-0.42499999999999716,11225,49536.0,LEG10
LEG27,2010-01-26,85.525,86.225,86.225,85.45,-0.6749999999999972,9186,46907.0,LEG10
LEG27,2010-01-27,85.375,85.55,85.8,85.15,-0.15000000000000568,7886,44491.0,LEG10
LEG27,2010-01-28,85.65,85.525,85.9,85.125,0.2750000000000057,4936,42962.0,LEG10
LEG27,2010-01-29,85.8,85.625,86.15,85.35,0.14999999999999147,7196,40635.0,LEG10
LEG27,2010-02-01,85.25,85.825,85.85,85.225,-0.5499999999999972,9667,35342.0,LEG10
LEG27,2010-02-02,86.225,85.3,86.4,85.275,0.9749999999999943,7756,33905.0,LEG10
LEG27,2010-02-03,86.45,86.4,86.55,85.8,0.22500000000000853,6551,33148.0,LEG10
LEG27,2010-02-04,86.55,86.375,86.65,85.9,0.09999999999999432,10107,30037.0,LEG10
LEG27,2010-02-05,87.425,86.6,87.9,86.25,0.875,21343,18462.0,LEG10
LEG27,2010-02-08,87.675,87.675,87.95,87.15,0.25,16740,20263.0,LEG10
LEG27,2010-02-09,88.75,87.725,88.925,87.7,1.0750000000000028,7232,17345.0,LEG10
LEG27,2010-02-10,88.825,88.7,88.9,88.25,0.07500000000000284,3880,12005.0,LEG10
LEG27,2010-02-11,89.4,88.75,89.6,88.5,0.5750000000000028,4777,13565.0,LEG10
LEG27,2010-02-12,89.375,89.5,89.7,89.1,-0.025000000000005684,4733,10879.0,LEG10
LEG27,2010-02-16,90.475,89.425,90.575,89.4,1.0999999999999943,3639,9536.0,LEG10
LEG27,2010-02-17,90.825,90.45,91.05,90.25,0.3500000000000085,2555,8387.0,LEG10
LEG27,2010-02-18,92.175,90.95,92.3,90.925,1.3499999999999943,4025,5901.0,LEG10
LEG27,2010-02-19,92.775,92.15,93,92.025,0.6000000000000085,2866,4330.0,LEG10
LEG27,2010-02-22,92.05,92.6,92.625,91.775,-0.7250000000000085,2921,2801.0,LEG10
LEG27,2010-02-23,91.75,92.3,92.3,91.6,-0.29999999999999716,1991,1878.0,LEG10
LEG27,2010-02-24,91.775,91.75,91.9,91.6,0.025000000000005684,1190,1083.0,LEG10
LEG27,2010-02-25,91.9,91.7,92.15,91.6,0.125,911,333.0,LEG10
LEG27,2010-02-26,93.75,93.575,93.9,93.4,1.8499999999999943,172,3461.0,LEG11
LEG27,2010-03-01,94.3,93.875,94.3,93.8,0.5499999999999972,231,3568.0,LEG11
LEG27,2010-03-02,94.85,94.2,94.95,94.1,0.5499999999999972,324,3773.0,LEG11
LEG27,2010-03-03,95.05,94.75,95.1,94.6,0.20000000000000284,278,3949.0,LEG11
LEG27,2010-03-04,95.475,95,95.5,94.85,0.42499999999999716,1133,4308.0,LEG11
LEG27,2010-03-05,95.7,95.375,95.75,95.2,0.22500000000000853,712,4511.0,LEG11
LEG27,2010-03-08,96.375,95.5,96.4,95.5,0.6749999999999972,787,4936.0,LEG11
LEG27,2010-03-09,95.975,96.1,96.225,95.85,-0.4000000000000057,322,4987.0,LEG11
LEG27,2010-03-10,95.4,95.85,95.85,94.95,-0.5749999999999886,430,5158.0,LEG11
LEG27,2010-03-11,95.3,95,95.5,95,-0.10000000000000853,910,5599.0,LEG11
LEG27,2010-03-12,95.65,95.25,95.825,95.25,0.3500000000000085,469,5673.0,LEG11
LEG27,2010-03-15,95.975,95.75,95.975,95.5,0.32499999999998863,311,5782.0,LEG11
