contract,date,close,open,high,low,change,volume,oi,symbol
GFF27,2010-01-04,95.875,95.825,95.975,95.175,0,1413.0,5006.0,GFF10
GFF27,2010-01-05,96.55,95.8,96.7,95.775,0.6749999999999972,1700.0,5130.0,GFF10
GFF27,2010-01-06,96.3,96.475,96.8,95.975,-0.25,938.0,4851.0,GFF10
GFF27,2010-01-07,96.45,96.3,96.775,96.2,0.15000000000000568,429.0,4759.0,GFF10
GFF27,2010-01-08,96.35,96.25,96.55,95.75,-0.10000000000000853,589.0,4614.0,GFF10
GFF27,2010-01-11,96.275,96.425,96.65,95.75,-0.07499999999998863,1211.0,3882.0,GFF10
GFF27,2010-01-12,97.8,96.325,98.1,96.325,1.5249999999999915,1473.0,3987.0,GFF10
GFF27,2010-01-13,97.3,97.9,98.1,97.2,-0.5,393.0,3628.0,GFF10
GFF27,2010-01-14,97.525,97.45,98.2,97.225,0.22500000000000853,1577.0,3152.0,GFF10
GFF27,2010-01-15,97.975,97.95,98.2,97.7,0.44999999999998863,352.0,3093.0,GFF10
GFF27,2010-01-19,98.25,98.2,98.5,98,0.2750000000000057,355.0,2956.0,GFF10
GFF27,2010-01-20,97.925,98.275,98.375,97.75,-0.32500000000000284,573.0,2875.0,GFF10
GFF27,2010-01-21,97.425,97.95,97.95,97.2,-0.5,1031.0,2447.0,GFF10
GFF27,2010-01-22,97.1,97.2,97.45,97.025,-0.32500000000000284,327.0,2365.0,GFF10
GFF27,2010-01-25,96.525,97,97,96.5,-0.5749999999999886,359.0,2239.0,GFF10
GFF27,2010-01-26,96.65,96.55,96.65,96.5,0.125,352.0,2139.0,GFF10
GFF27,2010-01-27,96.65,96.6,96.775,96.525,0,495.0,2187.0,GFF10
GFF27,2010-01-28,101.3,101.3,101.3,101.3,4.6499999999999915,,,GFF11
GFF27,2010-01-29,101.6,101.6,101.6,101.6,0.29999999999999716,,,GFF11
GFF27,2010-02-01,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-02,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-03,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-04,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-05,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-08,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-09,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-10,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-11,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-12,101.6,101.6,101.6,101.6,0,,,GFF11
GFF27,2010-02-16,103.0,103,103,103,1.4000000000000057,1.0,1.0,GFF11
GFF27,2010-02-17,103.0,102.75,103,102.75,0,5.0,3.0,GFF11
GFF27,2010-02-18,103.5,102.75,103.5,102.75,0.5,1.0,4.0,GFF11
GFF27,2010-02-19,103.7,103.7,103.7,103.7,0.20000000000000284,,4.0,GFF11
GFF27,2010-02-22,103.65,103.65,103.65,103.5,-0.04999999999999716,,4.0,GFF11
GFF27,2010-02-23,103.65,103,103.65,103,0,2.0,6.0,GFF11
GFF27,2010-02-24,103.6,103.6,103.6,103.45,-0.05000000000001137,4.0,10.0,GFF11
GFF27,2010-02-25,103.6,103.6,103.6,103.5,0,,10.0,GFF11
GFF27,2010-02-26,103.6,103.6,103.6,103.6,0,,10.0,GFF11
GFF27,2010-03-01,103.95,103.5,104,103.5,0.3500000000000085,11.0,16.0,GFF11
GFF27,2010-03-02,104.8,104.8,104.8,104,0.8499999999999943,1.0,16.0,GFF11
GFF27,2010-03-03,105.4,105.4,105.4,105.4,0.6000000000000085,,16.0,GFF11
GFF27,2010-03-04,105.4,105,105.4,105,0,3.0,18.0,GFF11
GFF27,2010-03-05,105.4,105.4,105.4,105.4,0,,18.0,GFF11
GFF27,2010-03-08,105.9,105.5,106,105.5,0.5,4.0,20.0,GFF11
GFF27,2010-03-09,105.8,105.8,105.875,105.8,-0.10000000000000853,,20.0,GFF11
GFF27,2010-03-10,105.3,105.3,105.775,105.3,-0.5,,20.0,GFF11
GFF27,2010-03-11,105.5,105.5,105.5,105.5,0.20000000000000284,2.0,21.0,GFF11
GFF27,2010-03-12,106.5,105.75,106.6,105.75,1,14.0,29.0,GFF11
GFF27,2010-03-15,106.7,106.6,106.7,106.6,0.20000000000000284,1.0,28.0,GFF11
GFF27,2010-03-16,106.7,106.7,106.7,106.7,0,,28.0,GFF11
GFF27,2010-03-17,106.9,106.5,106.9,106.5,0.20000000000000284,1.0,29.0,GFF11
GFF27,2010-03-18,107.1,107,107.2,107,0.19999999999998863,9.0,36.0,GFF11
GFF27,2010-03-19,107.25,107.5,107.75,107.2,0.15000000000000568,6.0,37.0,GFF11
GFF27,2010-03-22,107.0,107.5,107.5,107,-0.25,8.0,41.0,GFF11
GFF27,2010-03-23,106.3,107.5,107.5,106,-0.7000000000000028,10.0,48.0,GFF11
GFF27,2010-03-24,107.0,107,107,106,0.7000000000000028,1.0,49.0,GFF11
GFF27,2010-03-25,107.025,106.5,107.4,106.5,0.025000000000005684,9.0,53.0,GFF11
GFF27,2010-03-26,107.025,107,107.15,107,0,1.0,53.0,GFF11
GFF27,2010-03-29,107.55,107.875,108,107.5,0.5249999999999915,7.0,58.0,GFF11
GFF27,2010-03-30,108.2,108,108.25,107.55,0.6500000000000057,7.0,62.0,GFF11
GFF27,2010-03-31,109.9,109.5,109.9,107.9,1.7000000000000028,15.0,75.0,GFF11
GFF27,2010-04-01,109.9,109.8,110.2,109.75,0,25.0,90.0,GFF11
GFF27,2010-04-05,111.3,110.6,111.5,110.1,1.3999999999999915,11.0,99.0,GFF11
GFF27,2010-04-06,111.3,110.5,111.3,110.4,0,19.0,118.0,GFF11
GFF27,2010-04-07,111.75,111.5,112,111.5,0.45000000000000284,16.0,131.0,GFF11
GFF27,2010-04-08,111.5,111.1,111.7,111,-0.25,10.0,141.0,GFF11
GFF27,2010-04-09,112.3,111.8,112.3,111.8,0.7999999999999972,16.0,151.0,GFF11
GFF27,2010-04-12,112.0,112.3,112.3,111.3,-0.29999999999999716,10.0,155.0,GFF11
GFF27,2010-04-13,111.0,112,112,110.05,-1,28.0,171.0,GFF11
GFF27,2010-04-14,110.9,111,111.25,110.5,-0.09999999999999432,20.0,182.0,GFF11
GFF27,2010-04-15,111.25,111,111.25,111,0.3499999999999943,5.0,188.0,GFF11
GFF27,2010-04-16,111.4,111.25,111.5,110.925,0.15000000000000568,6.0,194.0,GFF11
GFF27,2010-04-19,112.5,111.5,112.5,111.5,1.0999999999999943,11.0,194.0,GFF11
GFF27,2010-04-20,112.5,112.125,112.5,112.1,0,21.0,211.0,GFF11
GFF27,2010-04-21,113.3,112.5,113.3,112.5,0.7999999999999972,11.0,221.0,GFF11
GFF27,2010-04-22,113.3,112.7,113.3,112.675,0,9.0,224.0,GFF11
GFF27,2010-04-23,113.2,113.25,113.6,112.95,-0.09999999999999432,21.0,255.0,GFF11
GFF27,2010-04-26,113.4,113.2,113.5,113,0.20000000000000284,5.0,247.0,GFF11
GFF27,2010-04-27,112.6,114,114.025,112.5,-0.8000000000000114,27.0,265.0,GFF11
GFF27,2010-04-28,112.25,112.6,112.6,112,-0.3499999999999943,13.0,268.0,GFF11
GFF27,2010-04-29,112.4,112.5,112.5,112,0.15000000000000568,15.0,274.0,GFF11
GFF27,2010-04-30,112.5,112.4,112.525,112.2,0.09999999999999432,9.0,282.0,GFF11
GFF27,2010-05-03,113.4,112,113.4,112,0.9000000000000057,7.0,287.0,GFF11
GFF27,2010-05-04,113.3,113,113.5,112.6,-0.10000000000000853,31.0,337.0,GFF11
GFF27,2010-05-05,113.6,113.1,113.8,113.075,0.29999999999999716,13.0,322.0,GFF11
GFF27,2010-05-06,112.95,113,113.125,111.95,-0.6499999999999915,23.0,334.0,GFF11
GFF27,2010-05-07,112.3,111.9,112.3,111.5,-0.6500000000000057,9.0,335.0,GFF11
GFF27,2010-05-10,112.75,112.5,112.8,111.8,0.45000000000000284,18.0,339.0,GFF11
GFF27,2010-05-11,112.9,112.75,112.9,112,0.15000000000000568,62.0,377.0,GFF11
GFF27,2010-05-12,112.725,112.85,112.85,112,-0.17500000000001137,41.0,416.0,GFF11
GFF27,2010-05-13,112.575,112.5,112.65,112.325,-0.14999999999999147,66.0,442.0,GFF11
GFF27,2010-05-14,110.4,111.5,111.5,110.05,-2.174999999999997,15.0,450.0,GFF11
GFF27,2010-05-17,110.0,110.425,110.5,109.8,-0.4000000000000057,14.0,450.0,GFF11
GFF27,2010-05-18,110.0,110.6,110.6,110,0,5.0,452.0,GFF11
GFF27,2010-05-19,110.0,109.4,110.05,109.1,0,23.0,457.0,GFF11
GFF27,2010-05-20,108.1,108.75,108.75,107.825,-1.9000000000000057,16.0,467.0,GFF11
GFF27,2010-05-21,108.0,108.1,108.175,107.6,-0.09999999999999432,21.0,461.0,GFF11
GFF27,2010-05-24,107.4,107.6,107.6,106.175,-0.5999999999999943,16.0,459.0,GFF11
GFF27,2010-05-25,106.0,106.85,106.85,105.4,-1.4000000000000057,30.0,460.0,GFF11
GFF27,2010-05-26,106.35,106.4,106.5,106.1,0.3499999999999943,11.0,461.0,GFF11
GFF27,2010-05-27,106.4,106.5,106.7,106.05,0.05000000000001137,17.0,461.0,GFF11
GFF27,2010-05-28,106.0,106.3,106.3,106,-0.4000000000000057,6.0,461.0,GFF11
GFF27,2010-06-01,107.0,106,107,106,1,13.0,470.0,GFF11
GFF27,2010-06-02,108.0,107.25,108,107.25,1,13.0,467.0,GFF11
GFF27,2010-06-03,108.025,108,108.05,107.7,0.025000000000005684,9.0,471.0,GFF11
GFF27,2010-06-04,107.4,107.6,107.6,106.85,-0.625,20.0,483.0,GFF11
GFF27,2010-06-07,107.1,106.925,107.1,106.55,-0.30000000000001137,26.0,495.0,GFF11
GFF27,2010-06-08,107.0,107,107.35,107,-0.09999999999999432,15.0,500.0,GFF11
GFF27,2010-06-09,107.8,108,108.25,107.25,0.7999999999999972,46.0,515.0,GFF11
GFF27,2010-06-10,108.5,107.925,109,107.3,0.7000000000000028,63.0,515.0,GFF11
GFF27,2010-06-11,108.5,108.7,108.7,107.775,0,35.0,526.0,GFF11
GFF27,2010-06-14,108.7,108.2,108.95,108.2,0.20000000000000284,54.0,551.0,GFF11
GFF27,2010-06-15,109.35,109,109.5,108.35,0.6499999999999915,36.0,573.0,GFF11
GFF27,2010-06-16,109.2,109.5,109.5,108.85,-0.14999999999999147,27.0,559.0,GFF11
GFF27,2010-06-17,108.6,108.5,108.7,108.3,-0.6000000000000085,18.0,561.0,GFF11
GFF27,2010-06-18,108.55,108.25,108.55,108.25,-0.04999999999999716,6.0,566.0,GFF11
GFF27,2010-06-21,109.8,109.2,109.9,109.1,1.25,31.0,574.0,GFF11
GFF27,2010-06-22,110.0,110,110.7,109.4,0.20000000000000284,72.0,609.0,GFF11
GFF27,2010-06-23,110.025,110,110.05,109.55,0.025000000000005684,17.0,604.0,GFF11
GFF27,2010-06-24,110.4,109.975,110.4,109.9,0.375,46.0,614.0,GFF11
GFF27,2010-06-25,110.975,110.5,111,110.4,0.5749999999999886,45.0,642.0,GFF11
GFF27,2010-06-28,111.6,111,111.6,110.8,0.625,35.0,635.0,GFF11
GFF27,2010-06-29,110.8,111.25,111.325,110.15,-0.7999999999999972,100.0,687.0,GFF11
GFF27,2010-06-30,111.05,110.85,111.375,109.7,0.25,90.0,726.0,GFF11
GFF27,2010-07-01,110.6,110.425,110.7,110.25,-0.45000000000000284,24.0,727.0,GFF11
GFF27,2010-07-02,110.9,111.125,111.125,110.45,0.30000000000001137,26.0,740.0,GFF11
GFF27,2010-07-06,111.4,110.7,111.5,110.7,0.5,68.0,769.0,GFF11
GFF27,2010-07-07,111.6,111.3,111.6,111.3,0.19999999999998863,14.0,774.0,GFF11
GFF27,2010-07-08,111.675,111.6,111.7,111.25,0.07500000000000284,64.0,801.0,GFF11
GFF27,2010-07-09,111.3,111.7,111.725,111.05,-0.375,23.0,802.0,GFF11
GFF27,2010-07-12,110.65,111,111,110.475,-0.6499999999999915,62.0,805.0,GFF11
GFF27,2010-07-13,111.725,110.5,111.75,110.5,1.0749999999999886,109.0,860.0,GFF11
GFF27,2010-07-14,111.65,111.25,111.65,110.925,-0.07499999999998863,99.0,914.0,GFF11
GFF27,2010-07-15,111.25,111.125,112,110.9,-0.4000000000000057,56.0,938.0,GFF11
GFF27,2010-07-16,111.0,111.25,111.25,110.725,-0.25,43.0,965.0,GFF11
GFF27,2010-07-19,111.85,111.25,111.9,111,0.8499999999999943,92.0,1010.0,GFF11
GFF27,2010-07-20,112.2,111.85,112.2,111.6,0.3500000000000085,209.0,1031.0,GFF11
GFF27,2010-07-21,112.35,112.15,112.45,111.8,0.14999999999999147,52.0,1068.0,GFF11
GFF27,2010-07-22,112.5,112.275,112.5,112,0.15000000000000568,59.0,1067.0,GFF11
GFF27,2010-07-23,112.95,112.25,113,112.25,0.45000000000000284,68.0,1118.0,GFF11
GFF27,2010-07-26,113.0,113,113.25,112.7,0.04999999999999716,118.0,1187.0,GFF11
GFF27,2010-07-27,113.3,112.825,113.3,112.725,0.29999999999999716,201.0,1280.0,GFF11
GFF27,2010-07-28,113.325,113.1,113.35,112.6,0.025000000000005684,298.0,1428.0,GFF11
GFF27,2010-07-29,112.9,113.075,113.55,112.2,-0.42499999999999716,156.0,1445.0,GFF11
GFF27,2010-07-30,113.075,112.5,113.175,112.5,0.17499999999999716,157.0,1488.0,GFF11
GFF27,2010-08-02,112.2,113.1,113.1,111.975,-0.875,202.0,1545.0,GFF11
GFF27,2010-08-03,112.6,112.35,112.725,112.325,0.3999999999999915,133.0,1590.0,GFF11
GFF27,2010-08-04,113.725,112.725,113.8,112.475,1.125,219.0,1660.0,GFF11
GFF27,2010-08-05,113.0,113.525,113.6,112.075,-0.7249999999999943,244.0,1726.0,GFF11
GFF27,2010-08-06,112.9,112.9,113,112.6,-0.09999999999999432,110.0,1753.0,GFF11
GFF27,2010-08-09,112.975,112.325,113,112.3,0.07499999999998863,208.0,1816.0,GFF11
GFF27,2010-08-10,112.8,112.975,113.05,112.4,-0.17499999999999716,167.0,1847.0,GFF11
GFF27,2010-08-11,112.925,112.75,113,111.975,0.125,218.0,1821.0,GFF11
GFF27,2010-08-12,112.25,112.775,112.9,112.1,-0.6749999999999972,254.0,1903.0,GFF11
GFF27,2010-08-13,111.7,112.175,112.225,111.575,-0.5499999999999972,199.0,1960.0,GFF11
GFF27,2010-08-16,113.1,112,113.325,112,1.3999999999999915,269.0,2020.0,GFF11
GFF27,2010-08-17,113.375,112.8,113.6,112.8,0.2750000000000057,297.0,2164.0,GFF11
GFF27,2010-08-18,114.7,113.475,114.7,113.475,1.3250000000000028,667.0,2407.0,GFF11
GFF27,2010-08-19,115.975,114.5,116.1,114.5,1.2749999999999915,533.0,2597.0,GFF11
GFF27,2010-08-20,116.875,115.8,116.9,115.575,0.9000000000000057,791.0,2961.0,GFF11
GFF27,2010-08-23,116.95,116.425,117,116.25,0.07500000000000284,400.0,3119.0,GFF11
GFF27,2010-08-24,116.6,116.8,116.9,115.95,-0.3500000000000085,368.0,3196.0,GFF11
GFF27,2010-08-25,116.575,116.025,116.7,115.85,-0.024999999999991473,481.0,3454.0,GFF11
GFF27,2010-08-26,116.575,116.35,116.6,116.1,0,531.0,3749.0,GFF11
GFF27,2010-08-27,116.3,116,116.65,115.65,-0.2750000000000057,446.0,3951.0,GFF11
GFF27,2010-08-30,115.675,116.15,116.2,115.35,-0.625,235.0,4017.0,GFF11
GFF27,2010-08-31,114.85,115.4,116,114.55,-0.8250000000000028,238.0,4107.0,GFF11
GFF27,2010-09-01,114.8,114.6,115.15,114.225,-0.04999999999999716,644.0,4285.0,GFF11
